#
# COVID-19 Country file (official WHO count)
# Country = Non_Deaths
# Latitude = 0.0
# Population = 1803.339
# Territory = 2244987.7
# LEB = -52.1
# DPA = 1008
# DPA65 = -3122
# GDP = 8794.5
# GDP_PPP = 11666.6
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_07
# Last_Case = 2021_05_23
# No official deaths as of 2021_05_23
# Status as of 2021_05_23 = Pending
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_01	       0	       0	       0	       0
2020_01_02	       0	       0	       0	       0
2020_01_03	       0	       0	       0	       0
2020_01_04	       0	       0	       0	       0
2020_01_05	       0	       0	       0	       0
2020_01_06	       0	       0	       0	       0
2020_01_07	       0	       0	       0	       0
2020_01_08	       0	       0	       0	       0
2020_01_09	       0	       0	       0	       0
2020_01_10	       0	       0	       0	       0
2020_01_11	       0	       0	       0	       0
2020_01_12	       0	       0	       0	       0
2020_01_13	       0	       0	       0	       0
2020_01_14	       0	       0	       0	       0
2020_01_15	       0	       0	       0	       0
2020_01_16	       0	       0	       0	       0
2020_01_17	       0	       0	       0	       0
2020_01_18	       0	       0	       0	       0
2020_01_19	       0	       0	       0	       0
2020_01_20	       0	       0	       0	       0
2020_01_21	       0	       0	       0	       0
2020_01_22	       0	       0	       0	       0
2020_01_23	       0	       0	       0	       0
2020_01_24	       0	       0	       0	       0
2020_01_25	       0	       0	       0	       0
2020_01_26	       0	       0	       0	       0
2020_01_27	       0	       0	       0	       0
2020_01_28	       0	       0	       0	       0
2020_01_29	       0	       0	       0	       0
2020_01_30	       0	       0	       0	       0
2020_01_31	       0	       0	       0	       0
2020_02_01	       0	       0	       0	       0
2020_02_02	       0	       0	       0	       0
2020_02_03	       0	       0	       0	       0
2020_02_04	       0	       0	       0	       0
2020_02_05	       0	       0	       0	       0
2020_02_06	       0	       0	       0	       0
2020_02_07	       0	       0	       0	       0
2020_02_08	       0	       0	       0	       0
2020_02_09	       0	       0	       0	       0
2020_02_10	       0	       0	       0	       0
2020_02_11	       0	       0	       0	       0
2020_02_12	       0	       0	       0	       0
2020_02_13	       0	       0	       0	       0
2020_02_14	       0	       0	       0	       0
2020_02_15	       0	       0	       0	       0
2020_02_16	       0	       0	       0	       0
2020_02_17	       0	       0	       0	       0
2020_02_18	       0	       0	       0	       0
2020_02_19	       0	       0	       0	       0
2020_02_20	       0	       0	       0	       0
2020_02_21	       0	       0	       0	       0
2020_02_22	       0	       0	       0	       0
2020_02_23	       0	       0	       0	       0
2020_02_24	       0	       0	       0	       0
2020_02_25	       0	       0	       0	       0
2020_02_26	       0	       0	       0	       0
2020_02_27	       0	       0	       0	       0
2020_02_28	       0	       0	       0	       0
2020_02_29	       0	       0	       0	       0
2020_03_01	       0	       0	       0	       0
2020_03_02	       0	       0	       0	       0
2020_03_03	       0	       0	       0	       0
2020_03_04	       0	       0	       0	       0
2020_03_05	       0	       0	       0	       0
2020_03_06	       0	       0	       0	       0
2020_03_07	       1	       0	       1	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       3	       0	       2	       0
2020_03_20	       5	       0	       2	       0
2020_03_21	       5	       0	       0	       0
2020_03_22	       7	       0	       2	       0
2020_03_23	       8	       0	       1	       0
2020_03_24	      14	       0	       6	       0
2020_03_25	      17	       0	       3	       0
2020_03_26	      32	       0	      15	       0
2020_03_27	      39	       0	       7	       0
2020_03_28	      43	       0	       4	       0
2020_03_29	      44	       0	       1	       0
2020_03_30	      48	       0	       4	       0
2020_03_31	      46	       0	      -2	       0
2020_04_01	      53	       0	       7	       0
2020_04_02	      53	       0	       0	       0
2020_04_03	      56	       0	       3	       0
2020_04_04	      57	       0	       1	       0
2020_04_05	      59	       0	       2	       0
2020_04_06	      61	       0	       2	       0
2020_04_07	      65	       0	       4	       0
2020_04_08	      67	       0	       2	       0
2020_04_09	      72	       0	       5	       0
2020_04_10	      72	       0	       0	       0
2020_04_11	      73	       0	       1	       0
2020_04_12	      74	       0	       1	       0
2020_04_13	      74	       0	       0	       0
2020_04_14	      74	       0	       0	       0
2020_04_15	      80	       0	       6	       0
2020_04_16	      82	       0	       2	       0
2020_04_17	      82	       0	       0	       0
2020_04_18	      82	       0	       0	       0
2020_04_19	      82	       0	       0	       0
2020_04_20	      82	       0	       0	       0
2020_04_21	      84	       0	       2	       0
2020_04_22	      84	       0	       0	       0
2020_04_23	      85	       0	       1	       0
2020_04_24	      85	       0	       0	       0
2020_04_25	      85	       0	       0	       0
2020_04_26	      86	       0	       1	       0
2020_04_27	      86	       0	       0	       0
2020_04_28	      86	       0	       0	       0
2020_04_29	      87	       0	       1	       0
2020_04_30	      87	       0	       0	       0
2020_05_01	      88	       0	       1	       0
2020_05_02	      88	       0	       0	       0
2020_05_03	      88	       0	       0	       0
2020_05_04	      88	       0	       0	       0
2020_05_05	      88	       0	       0	       0
2020_05_06	      88	       0	       0	       0
2020_05_07	      89	       0	       1	       0
2020_05_08	      89	       0	       0	       0
2020_05_09	      89	       0	       0	       0
2020_05_10	      89	       0	       0	       0
2020_05_11	      89	       0	       0	       0
2020_05_12	      89	       0	       0	       0
2020_05_13	      89	       0	       0	       0
2020_05_14	      89	       0	       0	       0
2020_05_15	      89	       0	       0	       0
2020_05_16	      89	       0	       0	       0
2020_05_17	      89	       0	       0	       0
2020_05_18	      89	       0	       0	       0
2020_05_19	      89	       0	       0	       0
2020_05_20	      89	       0	       0	       0
2020_05_21	      89	       0	       0	       0
2020_05_22	      89	       0	       0	       0
2020_05_23	      89	       0	       0	       0
2020_05_24	      89	       0	       0	       0
2020_05_25	      89	       0	       0	       0
2020_05_26	      90	       0	       1	       0
2020_05_27	      90	       0	       0	       0
2020_05_28	      90	       0	       0	       0
2020_05_29	      92	       0	       2	       0
2020_05_30	      92	       0	       0	       0
2020_05_31	      92	       0	       0	       0
2020_06_01	      92	       0	       0	       0
2020_06_02	      92	       0	       0	       0
2020_06_03	      92	       0	       0	       0
2020_06_04	      92	       0	       0	       0
2020_06_05	      93	       0	       1	       0
2020_06_06	      93	       0	       0	       0
2020_06_07	      93	       0	       0	       0
2020_06_08	      93	       0	       0	       0
2020_06_09	      93	       0	       0	       0
2020_06_10	      94	       0	       1	       0
2020_06_11	      94	       0	       0	       0
2020_06_12	      94	       0	       0	       0
2020_06_13	      96	       0	       2	       0
2020_06_14	      96	       0	       0	       0
2020_06_15	      96	       0	       0	       0
2020_06_16	      96	       0	       0	       0
2020_06_17	      96	       0	       0	       0
2020_06_18	      96	       0	       0	       0
2020_06_19	      96	       0	       0	       0
2020_06_20	      96	       0	       0	       0
2020_06_21	      96	       0	       0	       0
2020_06_22	      96	       0	       0	       0
2020_06_23	      96	       0	       0	       0
2020_06_24	      96	       0	       0	       0
2020_06_25	      96	       0	       0	       0
2020_06_26	      96	       0	       0	       0
2020_06_27	      96	       0	       0	       0
2020_06_28	      96	       0	       0	       0
2020_06_29	      96	       0	       0	       0
2020_06_30	      96	       0	       0	       0
2020_07_01	      96	       0	       0	       0
2020_07_02	      96	       0	       0	       0
2020_07_03	      96	       0	       0	       0
2020_07_04	      96	       0	       0	       0
2020_07_05	      96	       0	       0	       0
2020_07_06	      97	       0	       1	       0
2020_07_07	      97	       0	       0	       0
2020_07_08	      97	       0	       0	       0
2020_07_09	      97	       0	       0	       0
2020_07_10	      98	       0	       1	       0
2020_07_11	      99	       0	       1	       0
2020_07_12	      99	       0	       0	       0
2020_07_13	      99	       0	       0	       0
2020_07_14	      99	       0	       0	       0
2020_07_15	     100	       0	       1	       0
2020_07_16	     100	       0	       0	       0
2020_07_17	     102	       0	       2	       0
2020_07_18	     102	       0	       0	       0
2020_07_19	     102	       0	       0	       0
2020_07_20	     102	       0	       0	       0
2020_07_21	     102	       0	       0	       0
2020_07_22	     102	       0	       0	       0
2020_07_23	     102	       0	       0	       0
2020_07_24	     102	       0	       0	       0
2020_07_25	     102	       0	       0	       0
2020_07_26	     102	       0	       0	       0
2020_07_27	     102	       0	       0	       0
2020_07_28	     102	       0	       0	       0
2020_07_29	     103	       0	       1	       0
2020_07_30	     103	       0	       0	       0
2020_07_31	     103	       0	       0	       0
2020_08_01	     103	       0	       0	       0
2020_08_02	     103	       0	       0	       0
2020_08_03	     103	       0	       0	       0
2020_08_04	     103	       0	       0	       0
2020_08_05	     103	       0	       0	       0
2020_08_06	     103	       0	       0	       0
2020_08_07	     103	       0	       0	       0
2020_08_08	     104	       0	       1	       0
2020_08_09	     104	       0	       0	       0
2020_08_10	     104	       0	       0	       0
2020_08_11	     104	       0	       0	       0
2020_08_12	     104	       0	       0	       0
2020_08_13	     104	       0	       0	       0
2020_08_14	     104	       0	       0	       0
2020_08_15	     104	       0	       0	       0
2020_08_16	     104	       0	       0	       0
2020_08_17	     104	       0	       0	       0
2020_08_18	     104	       0	       0	       0
2020_08_19	     104	       0	       0	       0
2020_08_20	     104	       0	       0	       0
2020_08_21	     104	       0	       0	       0
2020_08_22	     104	       0	       0	       0
2020_08_23	     106	       0	       2	       0
2020_08_24	     106	       0	       0	       0
2020_08_25	     106	       0	       0	       0
2020_08_26	     106	       0	       0	       0
2020_08_27	     106	       0	       0	       0
2020_08_28	     106	       0	       0	       0
