#
# COVID-19 Country file (official WHO count)
# Country = Lesotho
# Latitude = -29.0
# Population = 2322.217
# Territory = 30355.0
# LEB = 54.3
# DPA = 30000
# DPA65 = 8400
# GDP = 1272.0
# GDP_PPP = 3592.0
# COVID-19 Mortality = 140.4
# First_Case = 2020_05_14
# Last_Case = 2021_06_13
# First_Death = 2020_07_09
# Last_Death = 2021_05_30
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_05_14	       1	       0	       1	       0
2020_05_15	       1	       0	       0	       0
2020_05_16	       1	       0	       0	       0
2020_05_17	       1	       0	       0	       0
2020_05_18	       1	       0	       0	       0
2020_05_19	       1	       0	       0	       0
2020_05_20	       1	       0	       0	       0
2020_05_21	       1	       0	       0	       0
2020_05_22	       1	       0	       0	       0
2020_05_23	       2	       0	       1	       0
2020_05_24	       2	       0	       0	       0
2020_05_25	       2	       0	       0	       0
2020_05_26	       2	       0	       0	       0
2020_05_27	       2	       0	       0	       0
2020_05_28	       2	       0	       0	       0
2020_05_29	       2	       0	       0	       0
2020_05_30	       2	       0	       0	       0
2020_05_31	       2	       0	       0	       0
2020_06_01	       2	       0	       0	       0
2020_06_02	       2	       0	       0	       0
2020_06_03	       2	       0	       0	       0
2020_06_04	       4	       0	       2	       0
2020_06_05	       4	       0	       0	       0
2020_06_06	       4	       0	       0	       0
2020_06_07	       4	       0	       0	       0
2020_06_08	       4	       0	       0	       0
2020_06_09	       4	       0	       0	       0
2020_06_10	       4	       0	       0	       0
2020_06_11	       4	       0	       0	       0
2020_06_12	       4	       0	       0	       0
2020_06_13	       4	       0	       0	       0
2020_06_14	       4	       0	       0	       0
2020_06_15	       4	       0	       0	       0
2020_06_16	       4	       0	       0	       0
2020_06_17	       4	       0	       0	       0
2020_06_18	       4	       0	       0	       0
2020_06_19	       4	       0	       0	       0
2020_06_20	       4	       0	       0	       0
2020_06_21	       4	       0	       0	       0
2020_06_22	       4	       0	       0	       0
2020_06_23	      12	       0	       8	       0
2020_06_24	      17	       0	       5	       0
2020_06_25	      17	       0	       0	       0
2020_06_26	      20	       0	       3	       0
2020_06_27	      24	       0	       4	       0
2020_06_28	      24	       0	       0	       0
2020_06_29	      27	       0	       3	       0
2020_06_30	      27	       0	       0	       0
2020_07_01	      27	       0	       0	       0
2020_07_02	      35	       0	       8	       0
2020_07_03	      35	       0	       0	       0
2020_07_04	      63	       0	      28	       0
2020_07_05	      79	       0	      16	       0
2020_07_06	      91	       0	      12	       0
2020_07_07	      91	       0	       0	       0
2020_07_08	      91	       0	       0	       0
2020_07_09	     134	       1	      43	       1
2020_07_10	     134	       1	       0	       0
2020_07_11	     184	       1	      50	       0
2020_07_12	     184	       1	       0	       0
2020_07_13	     233	       2	      49	       1
2020_07_14	     245	       3	      12	       1
2020_07_15	     256	       3	      11	       0
2020_07_16	     256	       3	       0	       0
2020_07_17	     256	       3	       0	       0
2020_07_18	     359	       6	     103	       3
2020_07_19	     359	       6	       0	       0
2020_07_20	     359	       6	       0	       0
2020_07_21	     359	       6	       0	       0
2020_07_22	     359	       6	       0	       0
2020_07_23	     359	       6	       0	       0
2020_07_24	     359	       6	       0	       0
2020_07_25	     419	       9	      60	       3
2020_07_26	     419	       9	       0	       0
2020_07_27	     505	      12	      86	       3
2020_07_28	     505	      12	       0	       0
2020_07_29	     505	      12	       0	       0
2020_07_30	     576	      13	      71	       1
2020_07_31	     604	      13	      28	       0
2020_08_01	     604	      13	       0	       0
2020_08_02	     702	      14	      98	       1
2020_08_03	     718	      19	      16	       5
2020_08_04	     718	      19	       0	       0
2020_08_05	     726	      21	       8	       2
2020_08_06	     726	      21	       0	       0
2020_08_07	     742	      23	      16	       2
2020_08_08	     742	      23	       0	       0
2020_08_09	     742	      23	       0	       0
2020_08_10	     781	      24	      39	       1
2020_08_11	     781	      24	       0	       0
2020_08_12	     798	      24	      17	       0
2020_08_13	     815	      24	      17	       0
2020_08_14	     884	      25	      69	       1
2020_08_15	     903	      25	      19	       0
2020_08_16	     903	      25	       0	       0
2020_08_17	     919	      25	      16	       0
2020_08_18	     935	      26	      16	       1
2020_08_19	     951	      27	      16	       1
2020_08_20	     967	      27	      16	       0
2020_08_21	     983	      28	      16	       1
2020_08_22	     999	      29	      16	       1
2020_08_23	    1015	      30	      16	       1
2020_08_24	    1022	      30	       7	       0
2020_08_25	    1029	      30	       7	       0
2020_08_26	    1036	      30	       7	       0
2020_08_27	    1044	      30	       8	       0
2020_08_28	    1051	      30	       7	       0
2020_08_29	    1058	      30	       7	       0
2020_08_30	    1066	      31	       8	       1
2020_08_31	    1077	      31	      11	       0
2020_09_01	    1089	      31	      12	       0
2020_09_02	    1101	      31	      12	       0
2020_09_03	    1112	      31	      11	       0
2020_09_04	    1124	      31	      12	       0
2020_09_05	    1136	      31	      12	       0
2020_09_06	    1148	      31	      12	       0
2020_09_07	    1161	      31	      13	       0
2020_09_08	    1175	      31	      14	       0
2020_09_09	    1189	      31	      14	       0
2020_09_10	    1203	      32	      14	       1
2020_09_11	    1217	      32	      14	       0
2020_09_12	    1231	      32	      14	       0
2020_09_13	    1245	      33	      14	       1
2020_09_14	    1265	      33	      20	       0
2020_09_15	    1286	      33	      21	       0
2020_09_16	    1307	      33	      21	       0
2020_09_17	    1327	      33	      20	       0
2020_09_18	    1348	      33	      21	       0
2020_09_19	    1369	      33	      21	       0
2020_09_20	    1390	      33	      21	       0
2020_09_21	    1414	      33	      24	       0
2020_09_22	    1438	      33	      24	       0
2020_09_23	    1462	      33	      24	       0
2020_09_24	    1486	      34	      24	       1
2020_09_25	    1510	      34	      24	       0
2020_09_26	    1534	      34	      24	       0
2020_09_27	    1558	      35	      24	       1
2020_09_28	    1569	      35	      11	       0
2020_09_29	    1581	      35	      12	       0
