#
# COVID-19 Country file (official WHO count)
# Country = Marshall Islands
# Latitude = 7.0
# Population = 53.251
# Territory = 181.4
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 3822.0
# GDP_PPP = 3787.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_11_01
# Last_Case = 2021_06_13
# No official deaths as of 2021_06_13
# Status as of 2021_06_13 = No cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_11_01	       2	       0	       2	       0
2020_11_02	       1	       0	      -1	       0
2020_11_03	       1	       0	       0	       0
2020_11_04	       1	       0	       0	       0
2020_11_05	       1	       0	       0	       0
2020_11_06	       1	       0	       0	       0
2020_11_07	       1	       0	       0	       0
2020_11_08	       1	       0	       0	       0
2020_11_09	       1	       0	       0	       0
2020_11_10	       1	       0	       0	       0
2020_11_11	       1	       0	       0	       0
2020_11_12	       1	       0	       0	       0
2020_11_13	       1	       0	       0	       0
2020_11_14	       1	       0	       0	       0
2020_11_15	       1	       0	       0	       0
2020_11_16	       1	       0	       0	       0
2020_11_17	       1	       0	       0	       0
2020_11_18	       2	       0	       1	       0
2020_11_19	       2	       0	       0	       0
2020_11_20	       3	       0	       1	       0
2020_11_21	       3	       0	       0	       0
2020_11_22	       4	       0	       1	       0
2020_11_23	       4	       0	       0	       0
2020_11_24	       4	       0	       0	       0
2020_11_25	       4	       0	       0	       0
2020_11_26	       4	       0	       0	       0
2020_11_27	       4	       0	       0	       0
2020_11_28	       4	       0	       0	       0
2020_11_29	       4	       0	       0	       0
2020_11_30	       4	       0	       0	       0
2020_12_01	       4	       0	       0	       0
2020_12_02	       4	       0	       0	       0
2020_12_03	       4	       0	       0	       0
2020_12_04	       4	       0	       0	       0
2020_12_05	       4	       0	       0	       0
2020_12_06	       4	       0	       0	       0
2020_12_07	       4	       0	       0	       0
2020_12_08	       4	       0	       0	       0
2020_12_09	       4	       0	       0	       0
2020_12_10	       4	       0	       0	       0
2020_12_11	       4	       0	       0	       0
2020_12_12	       4	       0	       0	       0
2020_12_13	       4	       0	       0	       0
2020_12_14	       4	       0	       0	       0
2020_12_15	       4	       0	       0	       0
2020_12_16	       4	       0	       0	       0
2020_12_17	       4	       0	       0	       0
2020_12_18	       4	       0	       0	       0
2020_12_19	       4	       0	       0	       0
2020_12_20	       4	       0	       0	       0
2020_12_21	       4	       0	       0	       0
2020_12_22	       4	       0	       0	       0
2020_12_23	       4	       0	       0	       0
2020_12_24	       4	       0	       0	       0
2020_12_25	       4	       0	       0	       0
2020_12_26	       4	       0	       0	       0
2020_12_27	       4	       0	       0	       0
2020_12_28	       4	       0	       0	       0
2020_12_29	       4	       0	       0	       0
2020_12_30	       4	       0	       0	       0
2020_12_31	       4	       0	       0	       0
2021_01_01	       4	       0	       0	       0
2021_01_02	       4	       0	       0	       0
2021_01_03	       4	       0	       0	       0
2021_01_04	       4	       0	       0	       0
2021_01_05	       4	       0	       0	       0
2021_01_06	       4	       0	       0	       0
2021_01_07	       4	       0	       0	       0
2021_01_08	       4	       0	       0	       0
2021_01_09	       4	       0	       0	       0
2021_01_10	       4	       0	       0	       0
2021_01_11	       4	       0	       0	       0
2021_01_12	       4	       0	       0	       0
2021_01_13	       4	       0	       0	       0
2021_01_14	       4	       0	       0	       0
2021_01_15	       4	       0	       0	       0
2021_01_16	       4	       0	       0	       0
2021_01_17	       4	       0	       0	       0
2021_01_18	       4	       0	       0	       0
2021_01_19	       4	       0	       0	       0
2021_01_20	       4	       0	       0	       0
2021_01_21	       4	       0	       0	       0
2021_01_22	       4	       0	       0	       0
2021_01_23	       4	       0	       0	       0
2021_01_24	       4	       0	       0	       0
2021_01_25	       4	       0	       0	       0
2021_01_26	       4	       0	       0	       0
2021_01_27	       4	       0	       0	       0
2021_01_28	       4	       0	       0	       0
2021_01_29	       4	       0	       0	       0
2021_01_30	       4	       0	       0	       0
2021_01_31	       4	       0	       0	       0
2021_02_01	       4	       0	       0	       0
2021_02_02	       4	       0	       0	       0
2021_02_03	       4	       0	       0	       0
2021_02_04	       4	       0	       0	       0
2021_02_05	       4	       0	       0	       0
2021_02_06	       4	       0	       0	       0
2021_02_07	       4	       0	       0	       0
2021_02_08	       4	       0	       0	       0
2021_02_09	       4	       0	       0	       0
2021_02_10	       4	       0	       0	       0
2021_02_11	       4	       0	       0	       0
2021_02_12	       4	       0	       0	       0
2021_02_13	       4	       0	       0	       0
2021_02_14	       4	       0	       0	       0
2021_02_15	       4	       0	       0	       0
2021_02_16	       4	       0	       0	       0
2021_02_17	       4	       0	       0	       0
2021_02_18	       4	       0	       0	       0
2021_02_19	       4	       0	       0	       0
2021_02_20	       4	       0	       0	       0
2021_02_21	       4	       0	       0	       0
2021_02_22	       4	       0	       0	       0
2021_02_23	       4	       0	       0	       0
2021_02_24	       4	       0	       0	       0
2021_02_25	       4	       0	       0	       0
2021_02_26	       4	       0	       0	       0
2021_02_27	       4	       0	       0	       0
2021_02_28	       4	       0	       0	       0
2021_03_01	       4	       0	       0	       0
2021_03_02	       4	       0	       0	       0
2021_03_03	       4	       0	       0	       0
2021_03_04	       4	       0	       0	       0
2021_03_05	       4	       0	       0	       0
2021_03_06	       4	       0	       0	       0
2021_03_07	       4	       0	       0	       0
2021_03_08	       4	       0	       0	       0
2021_03_09	       4	       0	       0	       0
2021_03_10	       4	       0	       0	       0
2021_03_11	       4	       0	       0	       0
2021_03_12	       4	       0	       0	       0
2021_03_13	       4	       0	       0	       0
2021_03_14	       4	       0	       0	       0
2021_03_15	       4	       0	       0	       0
2021_03_16	       4	       0	       0	       0
2021_03_17	       4	       0	       0	       0
2021_03_18	       4	       0	       0	       0
2021_03_19	       4	       0	       0	       0
2021_03_20	       4	       0	       0	       0
2021_03_21	       4	       0	       0	       0
2021_03_22	       4	       0	       0	       0
