#
# COVID-19 Country file (official WHO count)
# Country = Saint Barthelemy
# Latitude = 18.0
# Population = 9.793
# Territory = 25.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 102.1
# First_Case = 2020_03_05
# Last_Case = 2021_06_13
# First_Death = 2021_03_14
# Last_Death = 2021_03_14
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_05	       1	       0	       1	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       3	       0	       2	       0
2020_03_17	       3	       0	       0	       0
2020_03_18	       3	       0	       0	       0
2020_03_19	       3	       0	       0	       0
2020_03_20	       3	       0	       0	       0
2020_03_21	       3	       0	       0	       0
2020_03_22	       3	       0	       0	       0
2020_03_23	       3	       0	       0	       0
2020_03_24	       3	       0	       0	       0
2020_03_25	       3	       0	       0	       0
2020_03_26	       3	       0	       0	       0
2020_03_27	       3	       0	       0	       0
2020_03_28	       5	       0	       2	       0
2020_03_29	       5	       0	       0	       0
2020_03_30	       5	       0	       0	       0
2020_03_31	       6	       0	       1	       0
2020_04_01	       6	       0	       0	       0
2020_04_02	       6	       0	       0	       0
2020_04_03	       6	       0	       0	       0
2020_04_04	       6	       0	       0	       0
2020_04_05	       6	       0	       0	       0
2020_04_06	       6	       0	       0	       0
2020_04_07	       6	       0	       0	       0
2020_04_08	       6	       0	       0	       0
2020_04_09	       6	       0	       0	       0
2020_04_10	       6	       0	       0	       0
2020_04_11	       6	       0	       0	       0
2020_04_12	       6	       0	       0	       0
2020_04_13	       6	       0	       0	       0
2020_04_14	       6	       0	       0	       0
2020_04_15	       6	       0	       0	       0
2020_04_16	       6	       0	       0	       0
2020_04_17	       6	       0	       0	       0
2020_04_18	       6	       0	       0	       0
2020_04_19	       6	       0	       0	       0
2020_04_20	       6	       0	       0	       0
2020_04_21	       6	       0	       0	       0
2020_04_22	       6	       0	       0	       0
2020_04_23	       6	       0	       0	       0
2020_04_24	       6	       0	       0	       0
2020_04_25	       6	       0	       0	       0
2020_04_26	       6	       0	       0	       0
2020_04_27	       6	       0	       0	       0
2020_04_28	       6	       0	       0	       0
2020_04_29	       6	       0	       0	       0
2020_04_30	       6	       0	       0	       0
2020_05_01	       6	       0	       0	       0
2020_05_02	       6	       0	       0	       0
2020_05_03	       6	       0	       0	       0
2020_05_04	       6	       0	       0	       0
2020_05_05	       6	       0	       0	       0
2020_05_06	       6	       0	       0	       0
2020_05_07	       6	       0	       0	       0
2020_05_08	       6	       0	       0	       0
2020_05_09	       6	       0	       0	       0
2020_05_10	       6	       0	       0	       0
2020_05_11	       6	       0	       0	       0
2020_05_12	       6	       0	       0	       0
2020_05_13	       6	       0	       0	       0
2020_05_14	       6	       0	       0	       0
2020_05_15	       6	       0	       0	       0
2020_05_16	       6	       0	       0	       0
2020_05_17	       6	       0	       0	       0
2020_05_18	       6	       0	       0	       0
2020_05_19	       6	       0	       0	       0
2020_05_20	       6	       0	       0	       0
2020_05_21	       6	       0	       0	       0
2020_05_22	       6	       0	       0	       0
2020_05_23	       6	       0	       0	       0
2020_05_24	       6	       0	       0	       0
2020_05_25	       6	       0	       0	       0
2020_05_26	       6	       0	       0	       0
2020_05_27	       6	       0	       0	       0
2020_05_28	       6	       0	       0	       0
2020_05_29	       6	       0	       0	       0
2020_05_30	       6	       0	       0	       0
2020_05_31	       6	       0	       0	       0
2020_06_01	       6	       0	       0	       0
2020_06_02	       6	       0	       0	       0
2020_06_03	       6	       0	       0	       0
2020_06_04	       6	       0	       0	       0
2020_06_05	       6	       0	       0	       0
2020_06_06	       6	       0	       0	       0
2020_06_07	       6	       0	       0	       0
2020_06_08	       6	       0	       0	       0
2020_06_09	       6	       0	       0	       0
2020_06_10	       6	       0	       0	       0
2020_06_11	       6	       0	       0	       0
2020_06_12	       6	       0	       0	       0
2020_06_13	       6	       0	       0	       0
2020_06_14	       6	       0	       0	       0
2020_06_15	       6	       0	       0	       0
2020_06_16	       6	       0	       0	       0
2020_06_17	       6	       0	       0	       0
2020_06_18	       6	       0	       0	       0
2020_06_19	       6	       0	       0	       0
2020_06_20	       6	       0	       0	       0
2020_06_21	       6	       0	       0	       0
2020_06_22	       6	       0	       0	       0
2020_06_23	       6	       0	       0	       0
2020_06_24	       6	       0	       0	       0
2020_06_25	       6	       0	       0	       0
2020_06_26	       6	       0	       0	       0
2020_06_27	       6	       0	       0	       0
2020_06_28	       6	       0	       0	       0
2020_06_29	       6	       0	       0	       0
2020_06_30	       6	       0	       0	       0
2020_07_01	       6	       0	       0	       0
2020_07_02	       6	       0	       0	       0
2020_07_03	       6	       0	       0	       0
2020_07_04	       6	       0	       0	       0
2020_07_05	       6	       0	       0	       0
2020_07_06	       6	       0	       0	       0
2020_07_07	       6	       0	       0	       0
2020_07_08	       6	       0	       0	       0
2020_07_09	       6	       0	       0	       0
2020_07_10	       6	       0	       0	       0
2020_07_11	       6	       0	       0	       0
2020_07_12	       6	       0	       0	       0
2020_07_13	       6	       0	       0	       0
2020_07_14	       6	       0	       0	       0
2020_07_15	       6	       0	       0	       0
2020_07_16	       6	       0	       0	       0
2020_07_17	       6	       0	       0	       0
2020_07_18	       6	       0	       0	       0
2020_07_19	       6	       0	       0	       0
2020_07_20	       6	       0	       0	       0
2020_07_21	       6	       0	       0	       0
2020_07_22	       6	       0	       0	       0
2020_07_23	       6	       0	       0	       0
2020_07_24	       6	       0	       0	       0
2020_07_25	       6	       0	       0	       0
2020_07_26	       6	       0	       0	       0
2020_07_27	       7	       0	       1	       0
2020_07_28	       7	       0	       0	       0
2020_07_29	       7	       0	       0	       0
2020_07_30	       7	       0	       0	       0
2020_07_31	       8	       0	       1	       0
2020_08_01	       8	       0	       0	       0
2020_08_02	       8	       0	       0	       0
2020_08_03	       9	       0	       1	       0
2020_08_04	       9	       0	       0	       0
2020_08_05	       9	       0	       0	       0
2020_08_06	       9	       0	       0	       0
2020_08_07	       9	       0	       0	       0
2020_08_08	       9	       0	       0	       0
2020_08_09	       9	       0	       0	       0
2020_08_10	      13	       0	       4	       0
2020_08_11	      13	       0	       0	       0
2020_08_12	      13	       0	       0	       0
2020_08_13	      13	       0	       0	       0
2020_08_14	      13	       0	       0	       0
2020_08_15	      13	       0	       0	       0
2020_08_16	      13	       0	       0	       0
2020_08_17	      13	       0	       0	       0
2020_08_18	      13	       0	       0	       0
2020_08_19	      14	       0	       1	       0
2020_08_20	      14	       0	       0	       0
2020_08_21	      15	       0	       1	       0
2020_08_22	      15	       0	       0	       0
2020_08_23	      16	       0	       1	       0
2020_08_24	      16	       0	       0	       0
2020_08_25	      16	       0	       0	       0
2020_08_26	      16	       0	       0	       0
2020_08_27	      17	       0	       1	       0
2020_08_28	      17	       0	       0	       0
2020_08_29	      17	       0	       0	       0
2020_08_30	      18	       0	       1	       0
2020_08_31	      18	       0	       0	       0
2020_09_01	      18	       0	       0	       0
2020_09_02	      18	       0	       0	       0
2020_09_03	      18	       0	       0	       0
2020_09_04	      18	       0	       0	       0
2020_09_05	      18	       0	       0	       0
2020_09_06	      18	       0	       0	       0
2020_09_07	      18	       0	       0	       0
2020_09_08	      18	       0	       0	       0
2020_09_09	      19	       0	       1	       0
2020_09_10	      19	       0	       0	       0
2020_09_11	      20	       0	       1	       0
2020_09_12	      20	       0	       0	       0
2020_09_13	      21	       0	       1	       0
2020_09_14	      21	       0	       0	       0
2020_09_15	      21	       0	       0	       0
2020_09_16	      21	       0	       0	       0
2020_09_17	      22	       0	       1	       0
2020_09_18	      22	       0	       0	       0
2020_09_19	      22	       0	       0	       0
2020_09_20	      23	       0	       1	       0
2020_09_21	      26	       0	       3	       0
2020_09_22	      30	       0	       4	       0
2020_09_23	      33	       0	       3	       0
2020_09_24	      37	       0	       4	       0
2020_09_25	      40	       0	       3	       0
2020_09_26	      44	       0	       4	       0
2020_09_27	      48	       0	       4	       0
2020_09_28	      50	       0	       2	       0
2020_09_29	      52	       0	       2	       0
2020_09_30	      54	       0	       2	       0
2020_10_01	      56	       0	       2	       0
2020_10_02	      58	       0	       2	       0
2020_10_03	      60	       0	       2	       0
2020_10_04	      62	       0	       2	       0
2020_10_05	      62	       0	       0	       0
2020_10_06	      62	       0	       0	       0
2020_10_07	      63	       0	       1	       0
2020_10_08	      63	       0	       0	       0
2020_10_09	      64	       0	       1	       0
2020_10_10	      64	       0	       0	       0
2020_10_11	      65	       0	       1	       0
2020_10_12	      66	       0	       1	       0
2020_10_13	      67	       0	       1	       0
2020_10_14	      68	       0	       1	       0
2020_10_15	      69	       0	       1	       0
2020_10_16	      70	       0	       1	       0
