#
# COVID-19 Country file (official WHO count)
# Country = Solomon Islands
# Latitude = -9.0
# Population = 647.297
# Territory = 28896.0
# LEB = 73.0
# DPA = 3000
# DPA65 = 1320
# GDP = 2122.0
# GDP_PPP = 6163.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_10_04
# Last_Case = 2021_06_13
# No official deaths as of 2021_06_13
# Status as of 2021_06_13 = No cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_10_04	       1	       0	       1	       0
2020_10_05	       1	       0	       0	       0
2020_10_06	       1	       0	       0	       0
2020_10_07	       1	       0	       0	       0
2020_10_08	       1	       0	       0	       0
2020_10_09	       1	       0	       0	       0
2020_10_10	       1	       0	       0	       0
2020_10_11	       1	       0	       0	       0
2020_10_12	       1	       0	       0	       0
2020_10_13	       1	       0	       0	       0
2020_10_14	       1	       0	       0	       0
2020_10_15	       2	       0	       1	       0
2020_10_16	       2	       0	       0	       0
2020_10_17	       2	       0	       0	       0
2020_10_18	       3	       0	       1	       0
2020_10_19	       3	       0	       0	       0
2020_10_20	       3	       0	       0	       0
2020_10_21	       3	       0	       0	       0
2020_10_22	       3	       0	       0	       0
2020_10_23	       3	       0	       0	       0
2020_10_24	       3	       0	       0	       0
2020_10_25	       4	       0	       1	       0
2020_10_26	       4	       0	       0	       0
2020_10_27	       5	       0	       1	       0
2020_10_28	       5	       0	       0	       0
2020_10_29	       6	       0	       1	       0
2020_10_30	       6	       0	       0	       0
2020_10_31	       7	       0	       1	       0
2020_11_01	       8	       0	       1	       0
2020_11_02	       8	       0	       0	       0
2020_11_03	       9	       0	       1	       0
2020_11_04	      10	       0	       1	       0
2020_11_05	      10	       0	       0	       0
2020_11_06	      11	       0	       1	       0
2020_11_07	      12	       0	       1	       0
2020_11_08	      13	       0	       1	       0
2020_11_09	      13	       0	       0	       0
2020_11_10	      13	       0	       0	       0
2020_11_11	      14	       0	       1	       0
2020_11_12	      14	       0	       0	       0
2020_11_13	      15	       0	       1	       0
2020_11_14	      15	       0	       0	       0
2020_11_15	      16	       0	       1	       0
2020_11_16	      16	       0	       0	       0
2020_11_17	      16	       0	       0	       0
2020_11_18	      16	       0	       0	       0
2020_11_19	      16	       0	       0	       0
2020_11_20	      16	       0	       0	       0
2020_11_21	      16	       0	       0	       0
2020_11_22	      16	       0	       0	       0
2020_11_23	      16	       0	       0	       0
2020_11_24	      16	       0	       0	       0
2020_11_25	      16	       0	       0	       0
2020_11_26	      16	       0	       0	       0
2020_11_27	      16	       0	       0	       0
2020_11_28	      16	       0	       0	       0
2020_11_29	      17	       0	       1	       0
2020_11_30	      17	       0	       0	       0
2020_12_01	      17	       0	       0	       0
2020_12_02	      17	       0	       0	       0
2020_12_03	      17	       0	       0	       0
2020_12_04	      17	       0	       0	       0
2020_12_05	      17	       0	       0	       0
